(All),id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,(All),mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes,
,,,,,,,,,,,2019,"2 167,875",17 343,8,
,,,,,,,,,6,2,2017,"1 992,6",9 963,5,
,,,,,,,,,,,2018,"2 242,385",29 151,13,
,,,,,,,,,,,2019,"1 254,6",6 273,5,
,,,,,,,,,,3,2017,"2 398,5",4 797,2,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,,,,
,,,,,,,,,7,3,2017,2 214,22 140,10,
,,,,,,,,,,,2018,"1 811,455",19 926,11,
,,,,,,,,,,,2019,2 214,24 354,11,
,,,,,,,,,8,3,2017,1 845,20 295,11,
,,,,,,,,,,,2018,"1 614,375",25 830,16,
,,,,,,,,,,,2019,"1 402,2",14 022,10,
,,,,,,,,,9,3,2017,1 599,4 797,3,
,,,,,,,,,,,2018,"1 581,429",11 070,7,
,,,,,,,,,,,2019,1 599,9 594,6,
,,,,,,,,,,4,2017,738,738,1,
,,,,,,,,,,,2018,2 460,7 380,3,
,,,,,,,,,,,2019,1 107,1 107,1,
,,,,,,,,,10,4,2017,"1 506,75",18 081,12,
,,,,,,,,,,,2018,"2 152,5",12 915,6,
,,,,,,,,,,,2019,"2 121,75",25 461,12,
,,,,,,,,,11,4,2017,"1 568,25",12 546,8,
,,,,,,,,,,,2018,"2 029,5",20 295,10,
,,,,,,,,,,,2019,"2 306,25",27 675,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,1 476,13 284,9,
,,,,,,,,,,,2018,"1 614,375",12 915,8,
,,,,,,,,,,,2019,,,,
,38,fashion_underwear_beach,422,250,36,4,20,All Dates,1,1,2018,"2 434,615",31 650,13,
,,,,,,,,,,,2019,"2 263,454",24 898,11,
,,,,,,,,,2,1,2018,"2 194,4",10 972,5,
,,,,,,,,,,,2019,"1 841,455",20 256,11,
,,,,,,,,,3,1,2018,2 110,21 100,10,
,,,,,,,,,,,2019,"2 363,2",11 816,5,
,,,,,,,,,,2,2018,2 110,4 220,2,
,,,,,,,,,,,2019,1 266,1 266,1,
,,,,,,,,,4,2,2018,1 899,15 192,8,




,,,,,,,,,,,2019,"2 170,286",15 192,7,
,,,,,,,,,5,2,2017,"2 672,667",32 072,12,
,,,,,,,,,,,2018,"2 260,714",31 650,14,
,,,,,,,,,,,2019,"2 215,5",35 448,16,
,,,,,,,,,6,2,2017,1 899,22 788,12,
,,,,,,,,,,,2018,"2 351,143",16 458,7,
,,,,,,,,,,,2019,"2 152,2",21 522,10,
,,,,,,,,,,3,2017,1 899,3 798,2,
,,,,,,,,,,,2018,"2 391,333",7 174,3,
,,,,,,,,,,,2019,2 954,5 908,2,
,,,,,,,,,7,3,2017,"2 152,2",21 522,10,
,,,,,,,,,,,2018,1 899,15 192,8,
,,,,,,,,,,,2019,2 110,16 880,8,
,,,,,,,,,8,3,2017,"1 868,857",13 082,7,
,,,,,,,,,,,2018,"2 004,5",8 018,4,
,,,,,,,,,,,2019,2 110,21 100,10,
,,,,,,,,,9,3,2017,2 954,20 678,7,
,,,,,,,,,,,2018,"1 929,143",13 504,7,
,,,,,,,,,,,2019,2 110,16 880,8,
,,,,,,,,,,4,2017,1 266,2 532,2,
,,,,,,,,,,,2018,3 376,6 752,2,
,,,,,,,,,,,2019,"2 426,5",9 706,4,
,,,,,,,,,10,4,2017,"1 778,429",24 898,14,
,,,,,,,,,,,2018,"2 230,571",15 614,7,
,,,,,,,,,,,2019,"2 194,4",21 944,10,
,,,,,,,,,11,4,2017,"2 426,5",19 412,8,
,,,,,,,,,,,2018,"2 443,158",46 420,19,
,,,,,,,,,,,2019,"2 402,154",31 228,13,
,,,,,,,,,12,1,2017,2 532,2 532,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 652,571",18 568,7,
,,,,,,,,,,,2018,"2 250,667",20 256,9,
,,,,,,,,,,,2019,3 798,3 798,1,
,39,fashion_male_clothing,1026,950,40,6,40,All Dates,1,1,2018,"2 611,636",28 728,11,
,,,,,,,,,,,2019,"4 873,5",38 988,8,
,,,,,,,,,2,1,2018,"4 856,4",72 846,15,
,,,,,,,,,,,2019,5 130,35 910,7,
,,,,,,,,,3,1,2018,"4 983,429",34 884,7,
,,,,,,,,,,,2019,5 472,49 248,9,
,,,,,,,,,,2,2018,"4 360,5",17 442,4,
,,,,,,,,,,,2019,,,,
,,,,,,,,,4,2,2018,"4 030,714",56 430,14,
,,,,,,,,,,,2019,4 104,41 040,10,
,,,,,,,,,5,2,2017,6 156,92 340,15,
,,,,,,,,,,,2018,"5 232,6",52 326,10,
,,,,,,,,,,,2019,"4 702,5",56 430,12,
,,,,,,,,,6,2,2017,"5 061,6",75 924,15,
,,,,,,,,,,,2018,6 156,49 248,8,
,,,,,,,,,,,2019,"4 309,2",21 546,5,
,,,,,,,,,,3,2017,4 788,14 364,3,
,,,,,,,,,,,2018,5 130,10 260,2,
,,,,,,,,,,,2019,4 446,26 676,6,
,,,,,,,,,7,3,2017,6 669,40 014,6,
,,,,,,,,,,,2018,5 130,25 650,5,
,,,,,,,,,,,2019,7 353,44 118,6,
,,,,,,,,,8,3,2017,5 016,45 144,9,
,,,,,,,,,,,2018,"5 569,714",38 988,7,
,,,,,,,,,,,2019,5 130,46 170,9,
,,,,,,,,,9,3,2017,5 928,53 352,9,
,,,,,,,,,,,2018,6 318,120 042,19,
,,,,,,,,,,,2019,"3 810,857",26 676,7,
,,,,,,,,,,4,2017,"5 899,5",23 598,4,
,,,,,,,,,,,2018,3 078,3 078,1,
,,,,,,,,,,,2019,7 695,15 390,2,
,,,,,,,,,10,4,2017,6 669,66 690,10,
,,,,,,,,,,,2018,"5 287,846",68 742,13,
,,,,,,,,,,,2019,5 301,31 806,6,
,,,,,,,,,11,4,2017,"6 754,5",81 054,12,
,,,,,,,,,,,2018,6 498,77 976,12,
,,,,,,,,,,,2019,"4 681,125",74 898,16,
,,,,,,,,,12,1,2017,9 234,9 234,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"5 771,25",46 170,8,
,,,,,,,,,,,2018,5 814,52 326,9,
,,,,,,,,,,,2019,"4 514,4",22 572,5,
,40,kitchen_dining_laundry_garden_furniture,859,10893,33,88,44,All Dates,1,1,2018,"3 579,167",42 950,12,
,,,,,,,,,,,2019,"3 937,083",47 245,12,
,,,,,,,,,2,1,2018,"5 583,5",55 835,10,
,,,,,,,,,,,2019,"4 466,8",22 334,5,
,,,,,,,,,3,1,2018,"3 264,2",16 321,5,
,,,,,,,,,,,2019,"4 724,5",28 347,6,
,,,,,,,,,,2,2018,"6 299,333",18 898,3,
,,,,,,,,,,,2019,859,859,1,
,,,,,,,,,4,2,2018,"3 793,917",45 527,12,
,,,,,,,,,,,2019,"3 543,375",28 347,8,
,,,,,,,,,5,2,2017,"4 509,75",36 078,8,
,,,,,,,,,,,2018,"4 841,636",53 258,11,
,,,,,,,,,,,2019,"4 552,7",45 527,10,
,,,,,,,,,6,2,2017,"3 558,714",24 911,7,
,,,,,,,,,,,2018,"3 804,143",26 629,7,
,,,,,,,,,,,2019,"3 722,333",33 501,9,
,,,,,,,,,,3,2017,,,,




,,,,,,,,,,,2018,"2 290,667",6 872,3,
,,,,,,,,,,,2019,2 577,2 577,1,
,,,,,,,,,7,3,2017,"4 724,5",56 694,12,
,,,,,,,,,,,2018,"2 920,6",14 603,5,
,,,,,,,,,,,2019,"3 579,167",21 475,6,
,,,,,,,,,8,3,2017,"4 396,059",74 733,17,
,,,,,,,,,,,2018,"2 920,6",14 603,5,
,,,,,,,,,,,2019,"4 049,571",28 347,7,
,,,,,,,,,9,3,2017,5 154,30 924,6,
,,,,,,,,,,,2018,"4 638,6",46 386,10,
,,,,,,,,,,,2019,"4 724,5",18 898,4,
,,,,,,,,,,4,2017,"5 440,333",16 321,3,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,"4 724,5",9 449,2,
,,,,,,,,,10,4,2017,"4 509,75",36 078,8,
,,,,,,,,,,,2018,"3 836,867",57 553,15,
,,,,,,,,,,,2019,"3 607,8",18 039,5,
,,,,,,,,,11,4,2017,"3 865,5",69 579,18,
,,,,,,,,,,,2018,"3 865,5",30 924,8,
,,,,,,,,,,,2019,"4 402,375",35 219,8,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,6 872,13 744,2,
,,,,,,,,,,4,2017,"3 722,333",22 334,6,
,,,,,,,,,,,2018,"5 583,5",22 334,4,
,,,,,,,,,,,2019,859,859,1,
,41,industry_commerce_and_business,1058,1200,30,20,30,All Dates,1,1,2018,"5 713,2",57 132,10,
,,,,,,,,,,,2019,"5 407,556",48 668,9,
,,,,,,,,,2,1,2018,"3 914,6",39 146,10,
,,,,,,,,,,,2019,"5 667,857",79 350,14,
,,,,,,,,,3,1,2018,"5 138,857",35 972,7,
,,,,,,,,,,,2019,"5 097,636",56 074,11,
,,,,,,,,,,2,2018,7 406,7 406,1,
,,,,,,,,,,,2019,"3 808,8",19 044,5,
,,,,,,,,,4,2,2018,"4 443,6",44 436,10,
,,,,,,,,,,,2019,"5 488,375",87 814,16,
,,,,,,,,,5,2,2017,4 761,38 088,8,
,,,,,,,,,,,2018,"6 925,091",76 176,11,
,,,,,,,,,,,2019,"5 422,25",43 378,8,
,,,,,,,,,6,2,2017,5 290,21 160,4,
,,,,,,,,,,,2018,"4 549,4",45 494,10,
,,,,,,,,,,,2019,"4 655,2",46 552,10,
,,,,,,,,,,3,2017,7 935,15 870,2,
,,,,,,,,,,,2018,6 348,12 696,2,
,,,,,,,,,,,2019,"5 995,333",17 986,3,
,,,,,,,,,7,3,2017,"4 114,444",37 030,9,
,,,,,,,,,,,2018,"6 444,182",70 886,11,
,,,,,,,,,,,2019,"5 525,111",49 726,9,
,,,,,,,,,8,3,2017,"5 501,6",55 016,10,
,,,,,,,,,,,2018,"5 770,909",63 480,11,
,,,,,,,,,,,2019,"4 964,462",64 538,13,
,,,,,,,,,9,3,2017,"5 441,143",38 088,7,
,,,,,,,,,,,2018,"4 496,5",17 986,4,
,,,,,,,,,,,2019,"5 422,25",43 378,8,
,,,,,,,,,,4,2017,7 406,37 030,5,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,"4 937,333",14 812,3,
,,,,,,,,,10,4,2017,"6 136,4",30 682,5,
,,,,,,,,,,,2018,4 761,19 044,4,
,,,,,,,,,,,2019,"3 761,778",33 856,9,
,,,,,,,,,11,4,2017,"5 963,273",65 596,11,
,,,,,,,,,,,2018,"4 987,714",34 914,7,
,,,,,,,,,,,2019,"5 431,067",81 466,15,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,9 522,9 522,1,
,,,,,,,,,,4,2017,"4 080,857",28 566,7,
,,,,,,,,,,,2018,5 290,63 480,12,
,,,,,,,,,,,2019,2 645,5 290,2,
,42,fixed_telephony,1217,455,36,18,27,All Dates,1,1,2018,"5 476,5",43 812,8,
,,,,,,,,,,,2019,"3 182,923",41 378,13,
,,,,,,,,,2,1,2018,"5 476,5",43 812,8,
,,,,,,,,,,,2019,4 868,38 944,8,
,,,,,,,,,3,1,2018,"4 978,636",54 765,11,
,,,,,,,,,,,2019,"6 287,833",37 727,6,
,,,,,,,,,,2,2018,"5 111,4",25 557,5,
,,,,,,,,,,,2019,"9 127,5",18 255,2,
,,,,,,,,,4,2,2018,"4 259,5",42 595,10,
,,,,,,,,,,,2019,"5 215,714",36 510,7,
,,,,,,,,,5,2,2017,"7 633,909",83 973,11,
,,,,,,,,,,,2018,6 085,85 190,14,
,,,,,,,,,,,2019,"7 180,3",71 803,10,
,,,,,,,,,6,2,2017,"6 693,5",26 774,4,
,,,,,,,,,,,2018,"6 815,2",68 152,10,
,,,,,,,,,,,2019,"3 894,4",19 472,5,
,,,,,,,,,,3,2017,1 217,1 217,1,
,,,,,,,,,,,2018,"7 058,6",35 293,5,
,,,,,,,,,,,2019,,,,
,,,,,,,,,7,3,2017,"6 845,625",54 765,8,
,,,,,,,,,,,2018,"5 841,6",58 416,10,
,,,,,,,,,,,2019,"6 794,917",81 539,12,
,,,,,,,,,8,3,2017,"5 476,5",54 765,10,
,,,,,,,,,,,2018,"5 897,769",76 671,13,
,,,,,,,,,,,2019,"5 824,214",81 539,14,




,,,,,,,,,9,3,2017,"5 310,546",58 416,11,
,,,,,,,,,,,2018,"7 099,167",42 595,6,
,,,,,,,,,,,2019,"5 421,182",59 633,11,
,,,,,,,,,,4,2017,3 651,7 302,2,
,,,,,,,,,,,2018,"4 462,333",13 387,3,
,,,,,,,,,,,2019,"4 563,75",18 255,4,
,,,,,,,,,10,4,2017,"6 927,538",90 058,13,
,,,,,,,,,,,2018,"7 149,875",114 398,16,
,,,,,,,,,,,2019,"6 646,692",86 407,13,
,,,,,,,,,11,4,2017,"5 273,667",31 642,6,
,,,,,,,,,,,2018,"7 200,583",86 407,12,
,,,,,,,,,,,2019,"6 345,786",88 841,14,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"6 432,714",90 058,14,
,,,,,,,,,,,2018,"6 997,75",55 982,8,
,,,,,,,,,,,2019,2 434,2 434,1,
,43,construction_tools_lights,919,540,16,27,16,All Dates,1,1,2018,"5 858,625",46 869,8,
,,,,,,,,,,,2019,"4 365,25",34 922,8,
,,,,,,,,,2,1,2018,"4 778,8",47 788,10,
,,,,,,,,,,,2019,"4 748,167",28 489,6,
,,,,,,,,,3,1,2018,"4 988,857",34 922,7,
,,,,,,,,,,,2019,"5 346,909",58 816,11,
,,,,,,,,,,2,2018,"4 365,25",17 461,4,
,,,,,,,,,,,2019,"2 144,333",6 433,3,
,,,,,,,,,4,2,2018,"4 441,833",53 302,12,
,,,,,,,,,,,2019,4 595,41 355,9,
,,,,,,,,,5,2,2017,"4 312,231",56 059,13,
,,,,,,,,,,,2018,"4 857,571",34 003,7,
,,,,,,,,,,,2019,"4 533,733",68 006,15,
,,,,,,,,,6,2,2017,"5 896,917",70 763,12,
,,,,,,,,,,,2018,"3 165,444",28 489,9,
,,,,,,,,,,,2019,"4 748,167",28 489,6,
,,,,,,,,,,3,2017,"3 216,5",6 433,2,
,,,,,,,,,,,2018,"3 063,333",9 190,3,
,,,,,,,,,,,2019,3 676,14 704,4,
,,,,,,,,,7,3,2017,"4 824,75",57 897,12,
,,,,,,,,,,,2018,"4 192,938",67 087,16,
,,,,,,,,,,,2019,"5 330,2",53 302,10,
,,,,,,,,,8,3,2017,"4 652,438",74 439,16,
,,,,,,,,,,,2018,"4 865,294",82 710,17,
,,,,,,,,,,,2019,5 514,55 140,10,
,,,,,,,,,9,3,2017,"3 267,556",29 408,9,
,,,,,,,,,,,2018,"4 332,429",30 327,7,
,,,,,,,,,,,2019,"5 054,5",30 327,6,
,,,,,,,,,,4,2017,8 271,8 271,1,
,,,,,,,,,,,2018,"5 054,5",20 218,4,
,,,,,,,,,,,2019,7 352,14 704,2,
,,,,,,,,,10,4,2017,"4 093,727",45 031,11,
,,,,,,,,,,,2018,"4 709,875",37 679,8,
,,,,,,,,,,,2019,5 514,49 626,9,
,,,,,,,,,11,4,2017,"4 288,667",38 598,9,
,,,,,,,,,,,2018,"4 319,3",43 193,10,
,,,,,,,,,,,2019,"4 441,833",26 651,6,
,,,,,,,,,12,1,2017,5 514,5 514,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"4 697,111",42 274,9,
,,,,,,,,,,,2018,"4 411,2",22 056,5,
,,,,,,,,,,,2019,3 676,3 676,1,
,44,books_technical,1162,1100,29,3,21,All Dates,1,1,2018,"3 834,6",38 346,10,
,,,,,,,,,,,2019,6 308,44 156,7,
,,,,,,,,,2,1,2018,"4 793,25",38 346,8,
,,,,,,,,,,,2019,6 391,38 346,6,
,,,,,,,,,3,1,2018,"6 245,75",49 966,8,
,,,,,,,,,,,2019,"4 212,25",33 698,8,
,,,,,,,,,,2,2018,"5 422,667",16 268,3,
,,,,,,,,,,,2019,,,,
,,,,,,,,,4,2,2018,9 296,46 480,5,
,,,,,,,,,,,2019,"6 326,444",56 938,9,
,,,,,,,,,5,2,2017,"5 345,2",53 452,10,
,,,,,,,,,,,2018,5 810,46 480,8,
,,,,,,,,,,,2019,"6 866,364",75 530,11,
,,,,,,,,,6,2,2017,4 067,48 804,12,
,,,,,,,,,,,2018,4 067,24 402,6,
,,,,,,,,,,,2019,5 644,39 508,7,
,,,,,,,,,,3,2017,5 810,11 620,2,
,,,,,,,,,,,2018,4 648,13 944,3,
,,,,,,,,,,,2019,"6 197,333",18 592,3,
,,,,,,,,,7,3,2017,"6 100,5",24 402,4,
,,,,,,,,,,,2018,5 810,81 340,14,
,,,,,,,,,,,2019,"5 083,75",40 670,8,
,,,,,,,,,8,3,2017,"6 346,308",82 502,13,
,,,,,,,,,,,2018,6 391,51 128,8,
,,,,,,,,,,,2019,6 972,83 664,12,
,,,,,,,,,9,3,2017,"8 366,4",41 832,5,
,,,,,,,,,,,2018,6 972,34 860,5,
,,,,,,,,,,,2019,"4 212,25",33 698,8,
,,,,,,,,,,4,2017,1 743,3 486,2,
,,,,,,,,,,,2018,6 391,12 782,2,
,,,,,,,,,,,2019,7 802,54 614,7,
,,,,,,,,,10,4,2017,"5 577,6",55 776,10,
,,,,,,,,,,,2018,5 478,76 692,14,




,,,,,,,,,,,2019,"6 068,222",54 614,9,
,,,,,,,,,11,4,2017,"4 938,5",59 262,12,
,,,,,,,,,,,2018,4 648,23 240,5,
,,,,,,,,,,,2019,"4 753,636",52 290,11,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"6 487,833",77 854,12,
,,,,,,,,,,,2018,"7 359,333",66 234,9,
,,,,,,,,,,,2019,10 458,10 458,1,
,45,home_appliances_2,2030,13200,66,19,67,All Dates,1,1,2018,"12 286,842",233 450,19,
,,,,,,,,,,,2019,"10 703,636",117 740,11,
,,,,,,,,,2,1,2018,12 180,133 980,11,
,,,,,,,,,,,2019,9 135,109 620,12,
,,,,,,,,,3,1,2018,11 165,133 980,12,
,,,,,,,,,,,2019,10 440,73 080,7,
,,,,,,,,,,2,2018,10 150,40 600,4,
,,,,,,,,,,,2019,6 090,6 090,1,
,,,,,,,,,4,2,2018,"10 911,25",87 290,8,
,,,,,,,,,,,2019,"7 183,077",93 380,13,
,,,,,,,,,5,2,2017,"10 826,667",64 960,6,
,,,,,,,,,,,2018,10 353,103 530,10,
,,,,,,,,,,,2019,"13 429,231",174 580,13,
,,,,,,,,,6,2,2017,"11 503,333",69 020,6,
,,,,,,,,,,,2018,"10 334,546",113 680,11,
,,,,,,,,,,,2019,"7 612,5",30 450,4,
,,,,,,,,,,3,2017,12 180,24 360,2,
,,,,,,,,,,,2018,3 045,6 090,2,
,,,,,,,,,,,2019,"11 672,5",46 690,4,
,,,,,,,,,7,3,2017,"8 458,333",50 750,6,
,,,,,,,,,,,2018,5 510,38 570,7,
,,,,,,,,,,,2019,4 872,24 360,5,
,,,,,,,,,8,3,2017,"11 626,364",127 890,11,
,,,,,,,,,,,2018,12 470,174 580,14,
,,,,,,,,,,,2019,"9 811,667",117 740,12,
,,,,,,,,,9,3,2017,"8 965,833",107 590,12,
,,,,,,,,,,,2018,15 225,121 800,8,
,,,,,,,,,,,2019,"10 601,111",95 410,9,
,,,,,,,,,,4,2017,5 075,10 150,2,
,,,,,,,,,,,2018,"10 657,5",42 630,4,
,,,,,,,,,,,2019,"8 796,667",26 390,3,
,,,,,,,,,10,4,2017,"8 246,875",131 950,16,
,,,,,,,,,,,2018,"10 703,636",117 740,11,
,,,,,,,,,,,2019,"10 601,111",95 410,9,
,,,,,,,,,11,4,2017,"10 488,333",125 860,12,
,,,,,,,,,,,2018,8 932,89 320,10,
,,,,,,,,,,,2019,9 541,95 410,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,10 150,131 950,13,
,,,,,,,,,,,2018,"7 935,454",87 290,11,
,,,,,,,,,,,2019,2 030,2 030,1,
,46,party_supplies,134,1300,70,11,11,All Dates,1,1,2018,"793,692",10 318,13,
,,,,,,,,,,,2019,"765,714",5 360,7,
,,,,,,,,,2,1,2018,"569,5",4 556,8,
,,,,,,,,,,,2019,"589,6",5 896,10,
,,,,,,,,,3,1,2018,"837,5",3 350,4,
,,,,,,,,,,,2019,"708,286",4 958,7,
,,,,,,,,,,2,2018,670,670,1,
,,,,,,,,,,,2019,"446,667",2 680,6,
,,,,,,,,,4,2,2018,"856,111",15 410,18,
,,,,,,,,,,,2019,"629,8",6 298,10,
,,,,,,,,,5,2,2017,"549,4",5 494,10,
,,,,,,,,,,,2018,804,9 648,12,
,,,,,,,,,,,2019,"640,222",5 762,9,
,,,,,,,,,6,2,2017,"692,333",8 308,12,
,,,,,,,,,,,2018,"636,5",5 092,8,
,,,,,,,,,,,2019,"746,571",5 226,7,
,,,,,,,,,,3,2017,"446,667",1 340,3,
,,,,,,,,,,,2018,536,536,1,
,,,,,,,,,,,2019,670,2 010,3,
,,,,,,,,,7,3,2017,"459,429",3 216,7,
,,,,,,,,,,,2018,"705,733",10 586,15,
,,,,,,,,,,,2019,670,6 030,9,
,,,,,,,,,8,3,2017,"706,545",7 772,11,
,,,,,,,,,,,2018,"502,5",2 010,4,
,,,,,,,,,,,2019,"587,538",7 638,13,
,,,,,,,,,9,3,2017,"696,8",3 484,5,
,,,,,,,,,,,2018,"708,286",4 958,7,
,,,,,,,,,,,2019,"710,2",7 102,10,
,,,,,,,,,,4,2017,670,670,1,
,,,,,,,,,,,2018,335,670,2,
,,,,,,,,,,,2019,804,1 608,2,
,,,,,,,,,10,4,2017,"584,727",6 432,11,
,,,,,,,,,,,2018,"765,714",5 360,7,
,,,,,,,,,,,2019,"744,444",6 700,9,
,,,,,,,,,11,4,2017,"710,2",7 102,10,
,,,,,,,,,,,2018,"382,857",2 680,7,
,,,,,,,,,,,2019,"645,636",7 102,11,
,,,,,,,,,12,1,2017,1 206,1 206,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"656,6",6 566,10,
,,,,,,,,,,,2018,670,4 690,7,




,,,,,,,,,,,2019,335,670,2,
,47,drinks,497,200,20,9,14,All Dates,1,1,2018,2 485,19 880,8,
,,,,,,,,,,,2019,"2 153,667",12 922,6,
,,,,,,,,,2,1,2018,"2 761,111",24 850,9,
,,,,,,,,,,,2019,"2 595,444",23 359,9,
,,,,,,,,,3,1,2018,2 982,14 910,5,
,,,,,,,,,,,2019,3 479,17 395,5,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,2 982,8 946,3,
,,,,,,,,,4,2,2018,"2 665,727",29 323,11,
,,,,,,,,,,,2019,"1 739,5",13 916,8,
,,,,,,,,,5,2,2017,2 059,14 413,7,
,,,,,,,,,,,2018,"2 098,444",18 886,9,
,,,,,,,,,,,2019,"2 029,417",24 353,12,
,,,,,,,,,6,2,2017,"2 429,778",21 868,9,
,,,,,,,,,,,2018,"2 179,154",28 329,13,
,,,,,,,,,,,2019,"2 609,25",20 874,8,
,,,,,,,,,,3,2017,2 485,2 485,1,
,,,,,,,,,,,2018,"2 816,333",8 449,3,
,,,,,,,,,,,2019,3 976,11 928,3,
,,,,,,,,,7,3,2017,2 485,29 820,12,
,,,,,,,,,,,2018,"1 716,909",18 886,11,
,,,,,,,,,,,2019,"2 174,375",17 395,8,
,,,,,,,,,8,3,2017,1 846,12 922,7,
,,,,,,,,,,,2018,"2 584,4",12 922,5,
,,,,,,,,,,,2019,"2 153,667",19 383,9,
,,,,,,,,,9,3,2017,"2 832,9",28 329,10,
,,,,,,,,,,,2018,"2 429,778",21 868,9,
,,,,,,,,,,,2019,"2 683,8",13 419,5,
,,,,,,,,,,4,2017,"4 224,5",8 449,2,
,,,,,,,,,,,2018,1 491,1 491,1,
,,,,,,,,,,,2019,1 988,5 964,3,
,,,,,,,,,10,4,2017,"2 286,2",11 431,5,
,,,,,,,,,,,2018,"2 087,4",31 311,15,
,,,,,,,,,,,2019,"3 027,182",33 299,11,
,,,,,,,,,11,4,2017,"1 852,455",20 377,11,
,,,,,,,,,,,2018,2 911,20 377,7,
,,,,,,,,,,,2019,"2 153,667",12 922,6,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,2 627,36 778,14,
,,,,,,,,,,,2018,2 343,16 401,7,
,,,,,,,,,,,2019,"1 739,5",3 479,2,
,48,market_place,257,2150,40,25,30,All Dates,1,1,2018,"1 612,091",17 733,11,
,,,,,,,,,,,2019,"1 238,273",13 621,11,
,,,,,,,,,2,1,2018,"1 572,235",26 728,17,
,,,,,,,,,,,2019,"1 756,167",10 537,6,
,,,,,,,,,3,1,2018,"1 370,667",12 336,9,
,,,,,,,,,,,2019,"1 358,429",9 509,7,
,,,,,,,,,,2,2018,1 028,2 056,2,
,,,,,,,,,,,2019,514,1 028,2,
,,,,,,,,,4,2,2018,"1 734,75",13 878,8,
,,,,,,,,,,,2019,"1 387,8",13 878,10,
,,,,,,,,,5,2,2017,"1 403,615",18 247,13,
,,,,,,,,,,,2018,1 285,11 565,9,
,,,,,,,,,,,2019,"1 306,417",15 677,12,
,,,,,,,,,6,2,2017,"1 370,667",16 448,12,
,,,,,,,,,,,2018,"1 370,667",12 336,9,
,,,,,,,,,,,2019,1 285,6 425,5,
,,,,,,,,,,3,2017,1 285,1 285,1,
,,,,,,,,,,,2018,"1 477,75",5 911,4,
,,,,,,,,,,,2019,1 285,3 855,3,
,,,,,,,,,7,3,2017,"1 113,667",10 023,9,
,,,,,,,,,,,2018,"1 142,222",10 280,9,
,,,,,,,,,,,2019,1 285,15 420,12,
,,,,,,,,,8,3,2017,"1 211,571",8 481,7,
,,,,,,,,,,,2018,"1 523,643",21 331,14,
,,,,,,,,,,,2019,"1 413,5",11 308,8,
,,,,,,,,,9,3,2017,"1 439,2",7 196,5,
,,,,,,,,,,,2018,"685,333",2 056,3,
,,,,,,,,,,,2019,1 285,3 855,3,
,,,,,,,,,,4,2017,1 028,2 056,2,
,,,,,,,,,,,2018,514,1 028,2,
,,,,,,,,,,,2019,"1 156,5",2 313,2,
,,,,,,,,,10,4,2017,"1 306,417",15 677,12,
,,,,,,,,,,,2018,"1 331,727",14 649,11,
,,,,,,,,,,,2019,"1 242,167",7 453,6,
,,,,,,,,,11,4,2017,"1 113,667",13 364,12,
,,,,,,,,,,,2018,"1 486,929",20 817,14,
,,,,,,,,,,,2019,"1 098,091",12 079,11,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"1 303,357",18 247,14,
,,,,,,,,,,,2018,"1 688,857",11 822,7,
,,,,,,,,,,,2019,1 799,1 799,1,
,49,la_cuisine,232,7600,55,15,55,All Dates,1,1,2018,928,6 496,7,
,,,,,,,,,,,2019,"1 060,571",7 424,7,
,,,,,,,,,2,1,2018,"1 056,889",9 512,9,
,,,,,,,,,,,2019,"1 237,333",18 560,15,
,,,,,,,,,3,1,2018,"1 206,4",12 064,10,
,,,,,,,,,,,2019,348,696,2,
,,,,,,,,,,2,2018,464,464,1,




,,,,,,,,,,,2019,"541,333",1 624,3,
,,,,,,,,,4,2,2018,"1 134,222",10 208,9,
,,,,,,,,,,,2019,"947,333",11 368,12,
,,,,,,,,,5,2,2017,"1 090,4",10 904,10,
,,,,,,,,,,,2018,"1 090,4",10 904,10,
,,,,,,,,,,,2019,"878,286",12 296,14,
,,,,,,,,,6,2,2017,"1 121,333",6 728,6,
